comment,cleaned_comment
"Emang paling bener mending kasih simpanse pisang daripada entitas dengan IQ dibawahnya sebuah teknologi advance, sesuatu yg mereka tidak paham apa kegunaan dan peruntukkannya.",paling bener mending kasih simpanse pisang daripada entitas dengan bawah buah teknologi advance sesuatu mereka tidak paham apa guna dan untuk
"W paling males liat tiktok/Ig,paling banyak video isinya pamer tok*t,muka,pan*...makanya w cuman install YT,di yt pun udah mulai ketularan..w kan suka liat meme,gym life,game,dunia fisika.eeehh si konten meme malah nunjukin cewek pakaian minim yg ngelakuin hal2 yg mungkin lucu di sebagian orang Tpi w jijik ngelihat mereka,dan konten Gym yg lewat di short w malah isinya cewek2 yg pakek pakaian ketat mamerin pant* mereka...emang aneh jaman sekarang",paling males liat tiktokpaling banyak video isi pamer toktmukapanmakanya cuman install ytdi pun udah mulai ketularanw kan suka liat memegym lifegamedunia fisikaeehh konten meme malah nunjukin cewek pakai minim ngelakuin hal mungkin lucu bagi orang jijik ngelihat merekadan konten lewat short malah isi cewek pakek pakai ketat mamerin pant merekaemang aneh jaman sekarang
Langsung subscribe dan lanjut nonton video lain channel ini 🤙🏼,subscribe dan lanjut nonton video lain channel ini
Wanita penghibur hanya bisa memamerkan se onggok daging 💀☠️💀,hibur hanya bisa pamer onggok daging
Waspada Wanita penggoda bisa menjerumuskan kalian ke hell 💀☠️💀,goda bisa jerumus kalian hell
"laaah.... konten gituan ga ada yang liwat di beranda gua.
yang liwat semua isinya makanan sama jalan-jalan.
jalan-jalannya mah kaga, tapi diet gagal molo.
wkwkwkwkwk",laah konten gituan yang liwat beranda gua yang liwat semua isi makan sama jalanjalan jalanjalannya mah kaga tapi diet gagal molo wkwkwkwkwk
DUNIA INI MAKIN GILA BANYAK WANITA BER PARAS CANTIK TAPI HARGA DIRI NYA = 0 BANYAK BANGET CEWE CEWE YG BERTELANJANG DI APP SAMBIL MINTA SAWERAN DAN PROMOSI OP BO😂,dunia ini makin gila banyak wanita ber paras cantik tapi harga diri nya banyak banget cewe cewe telanjang app sambil minta sawer dan promosi
auto subcribe🙏🏻,auto subcribe
Bersyukur gua ketemu channel seperti ini. Konten lu keren bang. Ini isu moral yang jarang di bahas dengan detail.,gua ketemu channel seperti ini keren bang isu moral yang jarang bahas dengan detail
"Buset ada niswah, amei marsha, itu endorsenua banyak bg, ukhty",niswah amei marsha itu endorsenua banyak ukhty
"bang bahas ""kenapa orang bodoh merasa dirinya pintar""",bang bahas kenapa orang bodoh rasa diri pintar
"Soft Porn namanya, itu memang tujuanya melemahkan umat manusia.
Laki-laki lemah terhadap wanita, dikasih soft porn, walaupun pake jilbab tapi goyang2
Perempuan lemah terhadap harta/perhiasan, makanya banyak konten Flexing itu yang nonton kaum hawa.
Dan ada lagi yang miris...

Gw sebagai dosen memang merasa anak2 yang gw ajar skarang ini OTAK nya KOSONG atau STUNTING, terutama generasi yang ga punya Ujian Nasional.
Dan ke khawatiran gw jg ternyata selaras dengan ditutupnya beasiswa2 yang ada di Univ2 Belanda, dan Jerman. Meraka Menutup beasiswa untuk negara indonesia. karena dianggap kualitas pendidikan di indonesia menurun tanpa ada Ujian Nasional. Generasi bawah mulai di lemahkan satu persatu.",nama itu memang tujuanya lemah umat manusia laki lemah hadap wanita kasih soft porn walaupun pake jilbab tapi goyang lemah hadap hartaperhiasan makanya banyak konten itu yang nonton kaum hawa lagi yang miris bagai dosen memang rasa anak yang ajar skarang ini otak nya kosong atau stunting utama generasi yang punya khawatir nyata selaras dengan tutup beasiswa yang univ dan beasiswa untuk negara indonesia karena anggap kualitas didik indonesia turun tanpa bawah mulai lemah satu satu
udah ini pemilik akun fufu fafa. ngaku lo,udah ini milik akun fufu fafa ngaku
Untung tontonan ku hanya YouTube,tonton hanya youtube
"Parahnya lagi orang orang kaya mereka penghasilannya tinggi parah. Pernah denger yang joget pargoy di tiktok. Bisa dapet penghasilan puluhan sampe ratusan juta sebulan. Entah mereka dapet dari mana uang sebanyak itu. 

Pantesan cewe banyak yang milih jual diri di sosmed. 😅",lagi orang orang kaya mereka hasil tinggi parah denger yang joget pargoy tiktok dapet hasil puluh sampe ratus juta bulan mereka dapet dari mana uang banyak itu cewe banyak yang milih jual diri sosmed
"Awalnya nonton yg joget joget, ujung ujungnya malah nonton b*k3p 😢 ASTAGHFIRULLAH",nonton joget joget ujung ujung malah nonton bkp astaghfirullah
"Gue adalah salah satu penikmat konten-konten s*ksi tersebut dan gue akui itu adalah hal negatif yang harusnya dihentikan dan tidak patut dicontoh. Akan tetapi gue juga rutin melihat konten-konten edukasi yang bermanfaat. Gue akan selalu nenaruh respect yang tinggi terhadap konten kreator edukasi, adapun konten kreator s*ksi bagi gue adalah pemuas nafsu karena hanya itulah yang berhak mereka dapatkan.",adalah salah satu nikmat kontenkonten sksi sebut dan gue aku itu adalah hal negatif yang harus henti dan tidak patut contoh tetapi gue juga rutin lihat kontenkonten edukasi yang manfaat akan selalu nenaruh respect yang tinggi hadap konten kreator edukasi adapun konten kreator sksi bagi gue adalah muas nafsu karena hanya itu yang hak mereka dapat
Ini konten MAHAL!!!,konten mahal
"jangan lupa jika merasa beragama/beragama Islam, mengupload konten seksual itu akan menjadi Jariyah atau Mengalirnya dosa yang terus menerus selama Video atau tonton tersebut dihapus atau tidak di tonton.",jangan lupa jika rasa beragamaberagama mengupload konten seksual itu akan jadi atau dosa yang terus terus lama atau tonton sebut hapus atau tidak tonton
"buat yang udah kecanduang. Pas ga sengaja liat konten begituan terus malah nyari sumber lainnya, langsung aja istighfar atau yang lainnya sesuai agama kalian. sekalian push 10x + musik bmth can you feel my heart (pengalaman pribadi 😂)",buat yang udah kecanduang sengaja liat konten begitu terus malah nyari sumber lain langsung aja istighfar atau yang lain sesuai agama kalian sekali push musik bmth can you feel heart alam pribadi
"biasanya orang yang sudah kecanduan dengan tiktok akan menggunakan alasan ""Tapi kan tiktok juga bisa dipake untuk nyari ilmu."" dan gw ada masalah dengan itu. Memangnya lo ketika pergi ke tiktok berniat mencari ilmu? gak toh? Yang kamu cari itu hiburan, sesekali ada lah konten edukasi, tetapi itu satu di antara ratusan konten hiburan lainnya. Andai kata mencari buku di kasino. Gak masalah sih dengan hiburan, tapi jangan pake alasan cari ilmu untuk justifikasi.

Mungkin ada pengecualian di antara orang-orang, silahkan saja. Saran saya kalau memang mencari ilmu, cari di youtube gitu yang format video-nya panjang dan lingkungannya lebih stabil.",biasa orang yang sudah candu dengan tiktok akan guna alas kan tiktok juga bisa dipake untuk nyari ilmu dan masalah dengan itu ketika pergi tiktok niat cari ilmu gak toh kamu cari itu hibur sekal lah konten edukasi tetapi itu satu antara ratus konten hibur lain kata cari buku kasino masalah sih dengan hibur tapi jangan pake alas cari ilmu untuk justifikasi kecuali antara orangorang silah saja saya kalau memang cari ilmu cari youtube gitu yang format video panjang dan lingkung lebih stabil
karena SDM kita RENDAH broo...,karena sdm kita rendah broo
bikin konten edukasi terus kayak gini bang gw juga punya pikiran yg sama. orang orang udh ga bermoral sama sekali di internet bisa bisa nya bikin konten seksual di aplikasi yg ditonton ama bocah apa ga malu sama orang tua? lagian ya kok bisa ada cewe kayak gitu gw masih bingung...para para woman dengan pedenya mamerin tubuhnya bahkan sampe telanjang tanpa rasa malu gapunya bapak apa gimana ampe jadi kayak gitu?,bikin konten edukasi terus kayak gin bang juga punya pikir sama orang orang udh moral sama sekali internet bisa bisa nya bikin konten seksual aplikasi tonton ama bocah apa malu sama orang tua lagi kok bisa cewe kayak gitu masih bingungpara para woman dengan pedenya mamerin tubuh bahkan sampe telanjang tanpa rasa malu gapunya bapak apa gimana ampe jadi kayak gitu
Yg detik 0:31 nama akun y apa?,detik nama akun apa
akun ini keren bangettt😭,akun ini keren bangett
Krn konten sexual lebih mantap,konten sexual lebih mantap
"Dan akhirnya, setelah riset tersebut kamu memutuskan untuk membuat konten seksual (versi mu sendiri). :)",akhir telah riset sebut kamu putus untuk buat konten seksual versi sendiri
"zaman dulu tuh ngelonte butuh effort, tapi sekarang tinggal pasang hp ke tripod, nah tinggal telanjang tuh disitu",zaman dulu tuh ngelonte butuh effort tapi sekarang tinggal pasang tripod nah tinggal telanjang tuh situ
makasi sudah berbagi ilmu. semoga di resapi oleh anak2 zaman skrg,makas sudah bagi ilmu moga resap oleh anak zaman skrg
"*Karirnya jelas, kalo uda dapet gadun. Target mereka kan nyari gadun, salah satunya. Kedua sih so pasti followers yaa. Gengsi org Indo tinggi banget cuyyyy, apalagi kalo uda di cap selebtok / selebgram. Followers naik = gengsi naik* 🤑",jelas kalo uda dapet gadun mereka kan nyari gadun salah satu sih pasti followers yaa org tinggi banget cuyy apalagi kalo uda cap selebtok selebgram naik gengsi naik
"Engagement naik pesat, tapi tidak sustain 👌",naik pesat tapi tidak sustain
"Terimakasih ilmu dan nasehatnya, miris di zaman ini, semangat untuk berubah.",ilmu dan nasehat miris zaman ini semangat untuk ubah
"Kok belum ada ya YouTubers yang mencoba hack atau penetrasi Website Judi Online dengan SQL, XSS, CSRF, JWT token, Injection",belum youtubers yang coba hack atau penetrasi dengan sql xss csrf jwt token
Konten Tutorial Ajax Javascript Api PHP youtuber ku sepi,php youtuber sepi
Makasih konten nya bang fufufafa,konten nya bang fufufafa
"ya ga lah, tetep mahal itu, lu coba aja, mampu gak? ga akan wkkw malah makin mahal hargadiri manusia, 2 m baru mau ama lu,",lah tetep mahal itu coba aja mampu gak akan wkkw malah makin mahal hargadiri manusia baru mau ama
Ketika kita mencoba komen menasehatinya pasti ada aja orang bego random yg balesin nya ngelunjak/ngehujat.,kita coba komen nasehat pasti aja orang bego random balesin nya ngelunjakngehujat
"Bro tapi cowok pada suka kan cewek buka aurat makanya cewe2 pada begitu
#cowok munafik",tapi cowok pada suka kan cewek buka aurat makanya cewe pada begitu cowok munafik
bang lu yang disebut fufufafa itu yah?,bang yang sebut fufufafa itu yah
"mantapppp,,, lanjut boskuhhh",mantapp lanjut boskuhh
"Gampang, setiap ada konten seksual ditiktok maupun ig tingal laporkan aja ,, pasti akan dihapus dari oleh pihak terkait,,yok mulai dari sekarang,,, kasian generasi muda yang akan datang",tiap konten seksual ditiktok maupun tingal lapor aja pasti akan hapus dari oleh pihak terkaityok mulai dari sekarang kasi generasi muda yang akan datang
"aku setuju, kalau ingat jam kehidupan itu singkat dan kita juga gak tahu mau sampai kapan kita hidup juga rasanya bakal sia sia terbuang, menurutku kalau pun kita gak bisa menjadi sesuatu yang besar seperti terkenal dan kaya raya alangkah baiknya tetap jadi orang biasa namun memiliki kehidupan yang lebih baik misalkan dari bagian kesehatan itukan bermanfaat bagi diri sendiri walau kita bukan jadi orang terkenal yang kita mau, itu sih menurutku dari apa yang aku rangkum.",aku tuju kalau ingat jam hidup itu singkat dan kita juga gak tahu mau sampai kapan kita hidup juga rasa bakal sia sia buang turut kalau pun kita gak bisa jadi sesuatu yang besar seperti kenal dan kaya raya alangkah baik tetap jadi orang biasa namun milik hidup yang lebih baik misal dari bagi sehat itu manfaat bagi diri sendiri walau kita bukan jadi orang kenal yang kita mau itu sih turut dari apa yang aku rangkum
"Negara ini butuh revolusi mental dan moral!! Negara dengan mayoritas muslim, tapi kerusakan di segala bidang sangat massive! Politik, hukum, ham, ekonomi, agama, budaya, sosial.",ini butuh revolusi mental dan moral dengan mayoritas muslim tapi rusa segala bidang sangat massive hukum ham ekonomi agama budaya sosial
Mau diskusi bareng gk bang? Mana tau bisa jadi ide konten.,diskusi bareng bang tau bisa jadi ide konten
Gua yang udah jijik lihat begituan!,yang udah jijik lihat begitu
"Mungkin dari sisi yang luas bisa diumpamakan 

 ""Ketika ketidaktahuan atau kegagalan atas kesadaran diri  dan tujuan mengakibatkan timbangan skala prioritasnya akan kebutuhan dan keinginan menjadi relatif.""

Atau bahasa dokternya 
""Ketidaktepatan mendiagnosa penyakit mempengaruhi resiko kesalahan obat""",dari sisi yang luas bisa umpama ketidaktahuan atau gagal atas sadar diri dan tuju akibat timbang skala prioritas akan butuh dan ingin jadi relatif bahasa dokter mendiagnosa sakit pengaruh resiko salah obat
"Sabarr bng,,",bng
Bahaya banget buat anak kecil pekob ini😂,banget buat anak kecil pekob ini
"Kasian ortu mereka harus menanggung siksa d akhirat akibat ulah bodoh anaknya, semoga kita d jauhkan dari fitnah akhir jaman ini..aminn",ortu mereka harus tanggung siksa akhirat akibat ulah bodoh anak moga kita jauh dari fitnah akhir jaman iniaminn
Bisnis paling menjanjikan di semua era dan di semua negara adalah bisnis lendir/selangkangan,paling janji semua era dan semua negara adalah bisnis lendirselangkangan
"hidup kedepan seakan gaada tempat aman buat manusia. mau digital ataupun nyata. kalo menghindar, mereka yg dateng sendiri. kalo dilarang, lingkungan yg menghampiri. emg semua disetting seakan kita bisa tahan atau engga",hidup depan akan gaada tempat aman buat manusia mau digital atau nyata kalo hindar mereka dateng sendiri kalo larang lingkung hampir emg semua disetting akan kita bisa tahan atau engga
Apapun masalahnya makan gratis solusinya,masalah makan gratis solusi
Terimakasih ilmunya,ilmu
Mulai paham penghuni neraka kaum apa wkwkwk😂,paham huni neraka kaum apa wkwkwk
"""Don't let us trade our worth for what is trending.""",let trade our worth for what trending
meledak bang,ledak bang
I admire perjuanganmu bro. Thank you from the bottom of my heart for educating people. We need it! 🍒,admire juang bro you from the bottom heart for educating people need
oh ini ni pemilik asli akun fufufafa,ini milik asli akun fufufafa
"Keren nih channel, wajin subscribe!",nih channel wajin subscribe
"Gua cerita sedikit gua mengalami depres di stir sosial media kecanduan 9 tahun membuat gua mengalami banyak perubahan di kehidupan serta tidak produktif sama sekali, dan bukan ini gua hapus seperti Instagram Facebook tiktok dll gua cari tuh konten seberapa buruknya media sosial eh ternyata benar apa yg gua alami banyak banget konten dari luar negeri yg bahas betapa mengerikan nya sosial media itu gua saat ini menjalani Dopamin dettok 🙏🏻",cerita sedikit gua alami depres stir sosial media candu tahun buat gua alami banyak ubah hidup serta tidak produktif sama sekali dan bukan ini gua hapus seperti tiktok dll gua cari tuh konten berapa buruk media sosial nyata benar apa gua alami banyak banget konten dari luar negeri bahas betapa keri nya sosial media itu gua saat ini jalan dettok
"siapa bilang konten konten seksual engga ada hate comment nya ,malahan banyak comment yang isinya ceramah agama ,hingga hujatannya.",siapa bilang konten konten seksual engga hate comment nya malah banyak comment yang isi ceramah agama hingga hujat
"Saya salut bg. Konten edukatif memang butuh banyak effort, bahkan melebihi effortnya yg nyalon wapres. 
Ghibran bukan gibran sebelah yang cuma bisa omon-omon doang. 🗿",salut edukatif memang butuh banyak effort bahkan lebih effortnya nyalon wapres bukan gibran belah yang cuma bisa omonomon doang
"jadi manusia rusak aja sih bang, ribet amat, bukan tanggung jawab kita , kita liat",jadi manusia rusak aja sih bang ribet amat bukan tanggung jawab kita kita liat
Uninstall tiktok 💪💪💪,tiktok
"Yg sakah bukan sosmed nya,tapi yg memakai nya itu yg salah",sakah bukan sosmed nyatapi pakai nya itu salah
Skrg youtube short pun udah kaya tik tok nyampah,youtube short pun udah kaya tik tok nyampah
Nunggu tiktok diblok di indo biar kayak India. emang solusi terakhir itu.,tiktok blok indo biar kayak emang solusi akhir itu
Inilah ujian terberat saat ini. Konten yang bisa menyesatkan. Kita yang berada di tepi jurang.,uji berat saat ini yang bisa sesat yang ada tepi jurang
"You got me brooo, auto subs sih aku. Untung aja muncul di beranda",got broo auto subs sih aku aja muncul beranda
Lah ini 1% bukan gak sih,ini bukan gak sih
1:33 pantes ada meme neuron activation,pantes meme neuron activation
"1:11
Serius?
Lu baru tau ini?",baru tau ini
"Bahaya buat laki2, testosterone drop akhirnya jadi laki lemah",buat laki testosterone drop akhir jadi laki lemah
"suaranya mirip ""dari suara""",suara mirip dari suara
"J*blay berkedok socmed, bikin video p**no aja sekalian yakkss 🤮",blay kedok socmed bikin video pno aja sekali yakkss
"well nice video
cukup menjawab beberapa pertanyaan yang ada di otak gw selama ini",well nice video cukup jawab beberapa tanya yang otak lama ini
Apakah peradaban kita akan hancur karena hilang nya moralitas?,adab kita akan hancur karena hilang nya moralitas
dh ku subscribe bang semangat ngontennya😁👍,subscribe bang semangat ngontennya
"""halah trus kenapa? Kan suka2 aku liat konten ..."" Iya gw tau, tapi ya ga usah ngajak-ngajak orang lain ikutan ama lu lah co. Udah mah beban keluarga, beban masyarakat, belum lagi degenerasi otak lu. Ntar pas di timbang di hari akhir nangis 🔥🔥",halah trus kenapa suka aku liat konten tau tapi usah ngajakngajak orang lain ikut ama lah mah beban keluarga beban masyarakat belum lagi degenerasi otak pas timbang hari akhir nang
"rispek bro, keeo it up +1subs",rispek bro keeo subs
Kenapa konten berbau sexsual mayoritas selalu di lakukan wanita ?,konten bau sexsual mayoritas selalu laku wanita
"kalo gua yg kayak ginian jarang muncul di fyp sosmed manapun, soalnya gua pengen tapi malah muncul fyp sampah yg absurd sampe yg cringe parah, udah ngatur algoritma sampe atur fyp pun kagak muncul yg begitu, gua harus gimana yak?

edit: ini video muncul di fyp yt gua, auto tertarik sih",kalo gua kayak ginian jarang muncul fyp sosmed mana soal gua ken tapi malah muncul fyp sampah absurd sampe cringe parah udah ngatur algoritma sampe atur fyp pun kagak muncul begitu gua harus gimana yak edit ini video muncul fyp gua auto tarik sih
aku setuju kamu mendapatkan sampai 1 juta subscriber bang. aamiin.,aku tuju kamu dapat sampai juta subscriber bang aamiin
Pemuda seperti kita ini ibarat jarum di tumpukan jerami,seperti kita ini ibarat jarum tumpu jerami
"panjang umur bro! konten edukatif seperti ini harus terus ada dan berlipat ganda, ditengah kasus pelecehan seksual yang semakin merajalela akibat dari bergesernya nilai-nilai moral kita di sosial media.",panjang umur bro konten edukatif seperti ini harus terus dan lipat ganda tengah kasus leceh seksual yang makin rajalela akibat dari geser nilainilai moral kita sosial media
"ngl, awal tiktok muncul konten yg mengundang nafsu udh banyak,tpi skrng makin2 ga terkontrol kyk underage pun smp sma udh begini2an sih ngeri",ngl awal tiktok muncul konten undang nafsu udh banyaktpi skrng makin kontrol kyk underage pun smp sma udh begini sih ngeri
Entah kenapa secantik2nya cewe kalo udah pamer tt seketika hilang cantiknya dimata gw...,kenapa cantik cewe kalo udah pamer ketika hilang cantik mata
Intinya nafsu yg lebih tinggi,nafsu lebih tinggi
"nah bener gitu ya
sip sip ok",nah bener gitu sip sip
"Saya harap saat ada konten Tak senonoh, bisa kita laporkan dan lewati",harap saat konten senonoh bisa kita lapor dan lewat
Seksual itu bisa melepaskan dopamine untuk otak. Jadi mudah untuk disukai banyak orang.,itu bisa lepas dopamine untuk otak mudah untuk suka banyak orang
Bang halo,halo
"Aku nnton video ini di tonton 26rb, like 2,6rb, subscriber 20,6rb",nnton video ini tonton like subscriber
Estetika lebih mendominasi bang moral aja bisa di rubah persepsi masyarakat aja mampu merubah pandangan masyarakat bahwa orang baik di liat dari tampangnya,lebih dominasi bang moral aja bisa rubah persepsi masyarakat aja mampu rubah pandang masyarakat bahwa orang baik liat dari tampang
"Bukannya dari dulu ada, cuma jadi digital",dari dulu cuma jadi digital
"Indonesia butuh pemuda seperti lu bro
Edit: Pas msbreewc dan teguh, itu gw kesel banget. Kok ga ada yang laporin itu (setau gw ya)",butuh pemuda seperti bro msbreewc dan teguh itu kesel banget yang laporin itu tau
hampir semua konten yt ini bisa dijadikan bahan jurnal & skripsi,hampir semua konten ini bisa jadi bahan jurnal skripsi
"konten yt lu jadi favorit gw, isinya daging tapi pembawaanya ringan. sukses bro!",konten jadi favorit isi daging tapi pembawaanya ringan sukses bro
1:25 keliatan banget gimana kualitas otaknya si pemilik akun ini.,liat banget gimana kualitas otak milik akun ini
Menurutku karena manusia pernah tertarik pada kesenangan instan.,karena manusia pernah tarik pada senang instan
"beranda /fyp di tiktok memang sangat dipengaruhi oleh apa yang kita suka  misalnya,gw suka banget sama film, terutama Star Wars. Setiap kali gw like video tentang Star Wars, algoritmanya langsung menampilkan lebih banyak konten yang berhubungan. Jadi, gw selalu dapat info terbaru dan episode yang akan datang.
Tapi, kalau lo pada sering mencari konten yang jorok,sensitif,lasis,pemvuvuhohan ya itu yang bakal muncul di fyp lo pada. jadi, apa yang kita interaksi di TikTok bener² nentuin apa yang kita lihat",beranda fyp tiktok memang sangat pengaruh oleh apa yang kita suka misalnyagw suka banget sama film utama kali like video tentang algoritmanya langsung tampil lebih banyak konten yang hubung selalu dapat info baru dan episode yang akan datang kalau pada sering cari konten yang joroksensitiflasispemvuvuhohan itu yang bakal muncul fyp pada jadi apa yang kita interaksi tiktok bener nentuin apa yang kita lihat
"Karna emang rata rata sdm kita rendah min, makanya tontonanya ya begitu, kalau gak mesum, aib, gimick ngomong kasar, kalau gak umbar ketololan buat bikin orang ketawa",emang rata rata sdm kita rendah min makanya tontonanya begitu kalau gak mesum aib gimick ngomong kasar kalau gak umbar tolol buat bikin orang ketawa
Ada satu lagi yg lebih tinggi engagement nya yaitu konten PELAKOR.,satu lagi lebih tinggi engagement nya yaitu konten pelakor
Semoga Allah mudahkan Mas Razi,mudah
setuju bang...konten2 tabu tak berbobot,tuju bangkonten tabu tak bobot
Msbrewc tersenyum dipojokan sambil masak2 di ig 😂,senyum pojok sambil masak
Ternyata di negara yg masyarakatnya di dominasi pemegang kunci surga dan para calon penghuni surga pun ternyata pada kenyataannya ga sesuai dgn perkataan mereka sehari hari 😂,negara masyarakat dominasi pegang kunci surga dan para calon huni surga pun nyata pada nyata sesuai dgn kata mereka hari hari
"Konten seksual dan provokasi, paling laku.",seksual dan provokasi paling laku
keep up the great work brother. orang2 kayak elu yg Indonesia butuhin,keep the great work brother orang kayak elu butuhin
"Konten yg isinya cewek² lonth, memang lebih rame dr pd yg edukasi.🤦‍♂️😮‍💨",isi cewek lonth memang lebih rame edukasi
no fap day 9,fap day
"Konten edukasi terbenam gara gara konten sampah di sosmed, semoga konten edukasi di Indonesia tambah banyak, supaya Indonesia emas 2024 akan terjadi dan pasti.",edukasi benam gara gara konten sampah sosmed moga konten edukasi tambah banyak supaya emas akan jadi dan pasti
Thanks bang jadi bisa menjawab lebih pertanyaan saya selama ini kenapa byk konten Ero dll lebih rame daripada konten edukasi/effort lebih dsb,bang jadi bisa jawab lebih tanya saya lama ini kenapa byk konten dll lebih rame daripada konten edukasieffort lebih dsb
"Kebanyakan konten edukasi emang sepi penonton bang, karna tidak mengandung kesenangan sementara.",konten edukasi emang sepi tonton bang karna tidak kandung senang sementara
nice content,nice content
Hanya 22.000 manusia yg menerima fakta.,manusia terima fakta
prabowo dengan joget ok gasnya😁,prabowo dengan joget gas
"Kuakui sebagai manusia labil, buka sosmed mendadak lewat uhuy ahay erotis.

Subscribe dong! 🎉",bagai manusia labil buka sosmed dadak lewat uhuy ahay erotis dong
"termasuk salah satunya orang2 yg keluar duit buat (secara harfiah) diinjek dan ditendang sma cosplayer. gw spill aja soalnya gw selama sirka 2024 ini ke bbrp event wibu yg beginian banyak.

ok lah klo emang mau sparring, sama2 kena pukul dan ada juri dan peraturan yg harus diikuti (kaya sparring taekwondo ato silat) tapi buat diperlakukan spt itu di ruang publik?

gw lagi kurang2in komen di sini karena ini platform notabene bukan utk diskusi intelektual tpi gw jujur risih sma hal ini dan akhirnya ada video yg mewakili sentimen gw perihal ini",masuk salah satu orang keluar duit buat cara harfiah diinjek dan tendang sma cosplayer spill aja soal lama sirka ini bbrp event wibu begini banyak lah klo emang mau sparring sama kena pukul dan juri dan atur harus ikut kaya sparring taekwondo ato silat tapi buat laku spt itu ruang publik lagi rangin komen sini karena ini platform notabene bukan utk diskusi intelektual tpi jujur risih sma hal ini dan akhir video wakil sentimen perihal ini
7:56 Plus kalian juga ngerusak pola pikir dan perilaku penonton kalian...,kalian juga ngerusak pola pikir dan perilaku tonton kalian
"Bang boleh ga gw buat konten terinsipirasi dari konten ini dengan tema sama, of course gw tulis ulang gw rekam sendiri dan gw cantumin kredit",boleh buat konten terinsipirasi dari konten ini dengan tema sama course tulis ulang rekam sendiri dan cantumin kredit
Cwe= ga erotis ga viral,erotis viral
"konten seksual itu dilarang untuk umum tapi nyatanya malah dibiarkan dan jadi tontonan dengan views yang relatif besar, hampir ga ada bedanya ama koruptor yang harusnya dihukum malah disambut layaknya tamu negara dan dapat perlakuan khusus",konten seksual itu larang untuk umum tapi nyata malah biar dan jadi tonton dengan views yang relatif besar hampir beda ama koruptor yang harus hukum malah sambut layak tamu negara dan dapat laku khusus
Ngerasa useless bgt klo ngasih atensi ke konten2 bodoh,useless bgt klo ngasih atensi konten bodoh
wannjirrrr keren ini channel. gua subcribe!!!!,wannjirr keren ini channel gua subcribe
Konten bervalue gini channelnya cpt 100rb bntr lg,bervalue gin channelnya cpt bntr
Masyarakat Indonesia harus didewasakan dalam beragama😊,harus dewasa dalam agama
"Semangat bang 
Konten lu capek gua suka",bang capek gua suka
Neuron activation & Chill,activation
"ini bener banget, memang kita harus edukasi utk ini. tapi, menurut gw, ini ga bisa dihentikan. karna hal seperti ini sudah ada dari jaman dulu, hanya media-nya saja yang berubah.",ini bener banget memang kita harus edukasi utk ini tapi turut ini bisa henti karna hal seperti ini sudah dari jaman dulu hanya media saja yang ubah
gimana kalo  wawancara pelakunya? either we dont know they are honest or not,gimana kalo wawancara laku either dont know they are honest not
Gara gara media sosial ke indahan manusia hilang semua standar hidup yg bikin org kalangan atas di tonton kalangan bawah terus mereka mau kaya mereka dengan cara bikin standar yg ga masuk sama lingkungan mereka,gara media sosial indah manusia hilang semua standar hidup bikin org kalang atas tonton kalang bawah terus mereka mau kaya mereka dengan cara bikin standar masuk sama lingkung mereka
duhh daruratt browww,duhh daruratt broww
Feminis nangis di pojokan,nang pojok
"ini dia, yang gw fikirkan selama ini",ini dia yang fikirkan lama ini
Keren konten ini🤩👍🏾👍🏾👍🏾...persis riset nya Ferry Irwandi,konten inipersis riset nya
Ini voice over nya darisuara ya,voice over nya darisuara
"Rumus nya simpel:
Wanita klo cantik dia sudah mempunyai nilai plus
Wanita klo mempunyai prestasi dia sudah memiliki nilai lebih 
Wanita kalo pinter dia merasa sudah memiliki value-nya sendiri 
Sedangkan 
Wanita yang tidak memiliki ketiganya untuk ditampilkan maka dia akan menampilkan yng bisa di tonjolkan apa itu ya itulah hal-hal yang menonjol 😂",nya simpel klo cantik dia sudah punya nilai plus klo punya prestasi dia sudah milik nilai lebih kalo pinter dia rasa sudah milik valuenya sendiri yang tidak milik tiga untuk tampil maka dia akan tampil yng bisa tonjol apa itu itu halhal yang tonjol
"Yang buat algoritma di Indonesia ya netizen itu sendiri, algoritma akan menampilkan yang paling banyak di tonton sebagian besar masyarakat itu, beda klo d china, mereka disana lebih sering meninggalkan hal-hal berprestasi 🎉",buat algoritma netizen itu sendiri algoritma akan tampil yang paling banyak tonton bagi besar masyarakat itu beda klo china mereka sana lebih sering tinggal halhal prestasi
"Setuju ga boys, kalau cewe yang sukanya joget pamer body untuk publik itu ga cocok buat dijadikan istri.",boys kalau cewe yang suka joget pamer body untuk publik itu cocok buat jadi istri
